Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Test-title-uniq,Test-title,<p>test p</p>,Johnson Hardwood,,tags,TRUE,,,,,,,1,,,0,deny,manual,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Maibock,Maibock,"<div class=""details"">
<h2>PRODUCT DETAILS</h2>
<p>
<strong style="""">Construction: </strong>
<span style="""">  
      Engineered      </span>
</p>
<p>
<strong style="""">Species: </strong>
<span style="""">  
      Maple      </span>
</p>
<p>
<strong style="""">Texture: </strong>
<span style="""">  
      Wire-Brushed      </span>
</p>
<p>
<strong style="""">Color Tone: </strong>
<span style="""">  
      Medium      </span>
</p>
<p>
<strong style="""">Style: </strong>
<span style="""">  
      Vintage      </span>
</p>
<p>
<strong style="""">Floor Width: </strong>
<span style="""">  
      7-1/2""      </span>
</p>
<p>
<strong style="""">Thickness: </strong>
<span style="""">  
      1/2""      </span>
</p>
<p>
<strong style="""">Length: </strong>
<span style="""">  
      Most in 7/LF      </span>
</p>
<p>
<strong style="""">Veneer: </strong>
<span style="""">  
      2.0mm      </span>
</p>
<p>
<strong style="""">Finish: </strong>
<span style="""">  
      11 Step, Aluminum Oxide      </span>
</p>
<p>
<strong style="""">Gloss: </strong>
<span style="""">  
      Semi      </span>
</p>
<p>
<strong style="""">Edge Style: </strong>
<span style="""">  
      Full Bevel      </span>
</p>
<p>
<strong style="""">Color Variation: </strong>
<span style="""">  
      High      </span>
</p>
<p>
<strong style="""">Warranty: </strong>
<span style="""">  
      35 Year Limited Residential      </span>
</p>
<p>
<strong style="""">Installation Type: </strong>
<span style="""">  
      Staple, Cleat, Glue, Float      </span>
</p>
<p>
<strong style="""">Areas: </strong>
<span style="""">  
      On, Above, Below      </span>
</p>
</div>",Johnson Hardwood,,,TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALEl_Maibock_DSC_0483.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,"http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALEl_Maibock_DSC_0483.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALEl_Maibock_DSC_0888_detail01.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALEl_Maibock_DSC_0890_detail02.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALEl_Maibock_DSC_0884_detail03.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHM19001_Maibock_room.jpg,http://johnsonhardwood.com/wp-content/uploads/2016/08/1y_ALEl_Maibock_detail-01.jpg",,,
Hefeweizen,Hefeweizen,"<div class=""details"">
<h2>PRODUCT DETAILS</h2>
<p>
<strong style="""">Construction: </strong>
<span style="""">  
      Engineered      </span>
</p>
<p>
<strong style="""">Species: </strong>
<span style="""">  
      Maple      </span>
</p>
<p>
<strong style="""">Texture: </strong>
<span style="""">  
      Wire-Brushed      </span>
</p>
<p>
<strong style="""">Color Tone: </strong>
<span style="""">  
      Light      </span>
</p>
<p>
<strong style="""">Style: </strong>
<span style="""">  
      Vintage      </span>
</p>
<p>
<strong style="""">Floor Width: </strong>
<span style="""">  
      7-1/2""      </span>
</p>
<p>
<strong style="""">Thickness: </strong>
<span style="""">  
      1/2""      </span>
</p>
<p>
<strong style="""">Length: </strong>
<span style="""">  
      Most in 7/LF      </span>
</p>
<p>
<strong style="""">Veneer: </strong>
<span style="""">  
      2.0mm      </span>
</p>
<p>
<strong style="""">Finish: </strong>
<span style="""">  
      11 Step, Aluminum Oxide      </span>
</p>
<p>
<strong style="""">Gloss: </strong>
<span style="""">  
      Semi      </span>
</p>
<p>
<strong style="""">Edge Style: </strong>
<span style="""">  
      Full Bevel      </span>
</p>
<p>
<strong style="""">Color Variation: </strong>
<span style="""">  
      High      </span>
</p>
<p>
<strong style="""">Warranty: </strong>
<span style="""">  
      35 Year Limited Residential      </span>
</p>
<p>
<strong style="""">Installation Type: </strong>
<span style="""">  
      Staple, Cleat, Glue, Float      </span>
</p>
<p>
<strong style="""">Areas: </strong>
<span style="""">  
      On, Above, Below      </span>
</p>
</div>",Johnson Hardwood,,,TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_Hefeweizen_detail03_DSC_1985.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,"http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_Hefeweizen_detail03_DSC_1985.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_Hefeweizen_detail02_DSC_1988.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_Hefeweizen_detail01_DSC_1976.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_Hefeweizen_DSC_0489.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHM19002_Hefeweizen_000052967870_room.jpg",,,
Copper Ale,Copper Ale,"<div class=""details"">
<h2>PRODUCT DETAILS</h2>
<p>
<strong style="""">Construction: </strong>
<span style="""">  
      Engineered      </span>
</p>
<p>
<strong style="""">Species: </strong>
<span style="""">  
      Maple      </span>
</p>
<p>
<strong style="""">Texture: </strong>
<span style="""">  
      Wire-Brushed      </span>
</p>
<p>
<strong style="""">Color Tone: </strong>
<span style="""">  
      Medium      </span>
</p>
<p>
<strong style="""">Style: </strong>
<span style="""">  
      Vintage      </span>
</p>
<p>
<strong style="""">Floor Width: </strong>
<span style="""">  
      7-1/2""      </span>
</p>
<p>
<strong style="""">Thickness: </strong>
<span style="""">  
      1/2""      </span>
</p>
<p>
<strong style="""">Length: </strong>
<span style="""">  
      Most in 7/LF      </span>
</p>
<p>
<strong style="""">Veneer: </strong>
<span style="""">  
      2.0mm      </span>
</p>
<p>
<strong style="""">Finish: </strong>
<span style="""">  
      11 Step, Aluminum Oxide      </span>
</p>
<p>
<strong style="""">Gloss: </strong>
<span style="""">  
      Semi      </span>
</p>
<p>
<strong style="""">Edge Style: </strong>
<span style="""">  
      Full Bevel      </span>
</p>
<p>
<strong style="""">Color Variation: </strong>
<span style="""">  
      High      </span>
</p>
<p>
<strong style="""">Warranty: </strong>
<span style="""">  
      35 Year Limited Residential      </span>
</p>
<p>
<strong style="""">Installation Type: </strong>
<span style="""">  
      Staple, Cleat, Glue, Float      </span>
</p>
<p>
<strong style="""">Areas: </strong>
<span style="""">  
      On, Above, Below      </span>
</p>
</div>",Johnson Hardwood,,,TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHM19003_CopperAle_room.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,"http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHM19003_CopperAle_room.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_CopperAle_detail01_DSC_0906.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_CopperAle_DSC_0485.jpg",,,
Barley Ale,Barley Ale,"<div class=""details"">
<h2>PRODUCT DETAILS</h2>
<p>
<strong style="""">Construction: </strong>
<span style="""">  
      Engineered      </span>
</p>
<p>
<strong style="""">Species: </strong>
<span style="""">  
      Maple      </span>
</p>
<p>
<strong style="""">Texture: </strong>
<span style="""">  
      Wire-Brushed      </span>
</p>
<p>
<strong style="""">Color Tone: </strong>
<span style="""">  
      Medium      </span>
</p>
<p>
<strong style="""">Style: </strong>
<span style="""">  
      Vintage      </span>
</p>
<p>
<strong style="""">Floor Width: </strong>
<span style="""">  
      7-1/2""      </span>
</p>
<p>
<strong style="""">Thickness: </strong>
<span style="""">  
      1/2""      </span>
</p>
<p>
<strong style="""">Length: </strong>
<span style="""">  
      Most in 7/LF      </span>
</p>
<p>
<strong style="""">Veneer: </strong>
<span style="""">  
      2.0mm      </span>
</p>
<p>
<strong style="""">Finish: </strong>
<span style="""">  
      11 Step, Aluminum Oxide      </span>
</p>
<p>
<strong style="""">Gloss: </strong>
<span style="""">  
      Semi      </span>
</p>
<p>
<strong style="""">Warranty: </strong>
<span style="""">  
      35 Year Limited Residential      </span>
</p>
<p>
<strong style="""">Installation Type: </strong>
<span style="""">  
      Staple, Cleat, Glue, Float      </span>
</p>
<p>
<strong style="""">Areas: </strong>
<span style="""">  
      On, Above, Below      </span>
</p>
</div>",Johnson Hardwood,,,TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_BarleyAle_DSC_0487.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,"http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_BarleyAle_DSC_0487.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_BarleyAle_detail02_DSC_0928.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHM19004_BarleyAle_room.jpg",,,
Strawberry Blonde,Strawberry Blonde,"<div class=""details"">
<h2>PRODUCT DETAILS</h2>
<p>
<strong style="""">Construction: </strong>
<span style="""">  
      Engineered      </span>
</p>
<p>
<strong style="""">Species: </strong>
<span style="""">  
      Maple      </span>
</p>
<p>
<strong style="""">Texture: </strong>
<span style="""">  
      Wire-Brushed      </span>
</p>
<p>
<strong style="""">Color Tone: </strong>
<span style="""">  
      Medium      </span>
</p>
<p>
<strong style="""">Style: </strong>
<span style="""">  
      Vintage      </span>
</p>
<p>
<strong style="""">Floor Width: </strong>
<span style="""">  
      7-1/2""      </span>
</p>
<p>
<strong style="""">Thickness: </strong>
<span style="""">  
      1/2""      </span>
</p>
<p>
<strong style="""">Length: </strong>
<span style="""">  
      Most in 7/LF      </span>
</p>
<p>
<strong style="""">Veneer: </strong>
<span style="""">  
      2.0mm      </span>
</p>
<p>
<strong style="""">Finish: </strong>
<span style="""">  
      11 Step, Aluminum Oxide      </span>
</p>
<p>
<strong style="""">Gloss: </strong>
<span style="""">  
      Semi      </span>
</p>
<p>
<strong style="""">Edge Style: </strong>
<span style="""">  
      Full Bevel      </span>
</p>
<p>
<strong style="""">Color Variation: </strong>
<span style="""">  
      High      </span>
</p>
<p>
<strong style="""">Warranty: </strong>
<span style="""">  
      35 Year Limited Residential      </span>
</p>
<p>
<strong style="""">Installation Type: </strong>
<span style="""">  
      Staple, Cleat, Glue, Float      </span>
</p>
<p>
<strong style="""">Areas: </strong>
<span style="""">  
      On, Above, Below      </span>
</p>
</div>",Johnson Hardwood,,,TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHM19005_StrawberryBlonde_room.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,"http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHM19005_StrawberryBlonde_room.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_strawberry_blonde_DSC_0944_detail01.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_strawberry_blonde_DSC_0490.jpg",,,
Doppelbock,Doppelbock,"<div class=""details"">
<h2>PRODUCT DETAILS</h2>
<p>
<strong style="""">Construction: </strong>
<span style="""">  
      Engineered      </span>
</p>
<p>
<strong style="""">Species: </strong>
<span style="""">  
      Maple      </span>
</p>
<p>
<strong style="""">Texture: </strong>
<span style="""">  
      Wire-Brushed      </span>
</p>
<p>
<strong style="""">Color Tone: </strong>
<span style="""">  
      Dark      </span>
</p>
<p>
<strong style="""">Style: </strong>
<span style="""">  
      Vintage      </span>
</p>
<p>
<strong style="""">Floor Width: </strong>
<span style="""">  
      7-1/2""      </span>
</p>
<p>
<strong style="""">Thickness: </strong>
<span style="""">  
      1/2""      </span>
</p>
<p>
<strong style="""">Length: </strong>
<span style="""">  
      Most in 7/LF      </span>
</p>
<p>
<strong style="""">Veneer: </strong>
<span style="""">  
      2.0mm      </span>
</p>
<p>
<strong style="""">Finish: </strong>
<span style="""">  
      11 Step, Aluminum Oxide      </span>
</p>
<p>
<strong style="""">Gloss: </strong>
<span style="""">  
      Semi      </span>
</p>
<p>
<strong style="""">Edge Style: </strong>
<span style="""">  
      Full Bevel      </span>
</p>
<p>
<strong style="""">Color Variation: </strong>
<span style="""">  
      High      </span>
</p>
<p>
<strong style="""">Warranty: </strong>
<span style="""">  
      35 Year Limited Residential      </span>
</p>
<p>
<strong style="""">Installation Type: </strong>
<span style="""">  
      Staple, Cleat, Glue, Float      </span>
</p>
<p>
<strong style="""">Areas: </strong>
<span style="""">  
      On, Above, Below      </span>
</p>
</div>",Johnson Hardwood,,,TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_DoppleBock_DSC_0492.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,"http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_DoppleBock_DSC_0492.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_DoppleBock_DSC_0958_detail01.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHM19006_Dopperbock_000057567744_room.jpg",,,
Belgian Wheat,Belgian Wheat,"<div class=""details"">
<h2>PRODUCT DETAILS</h2>
<p>
<strong style="""">Construction: </strong>
<span style="""">  
      Engineered      </span>
</p>
<p>
<strong style="""">Species: </strong>
<span style="""">  
      European Oak      </span>
</p>
<p>
<strong style="""">Texture: </strong>
<span style="""">  
      Wire-Brushed      </span>
</p>
<p>
<strong style="""">Color Tone: </strong>
<span style="""">  
      Light      </span>
</p>
<p>
<strong style="""">Style: </strong>
<span style="""">  
      Vintage      </span>
</p>
<p>
<strong style="""">Floor Width: </strong>
<span style="""">  
      7-1/2""      </span>
</p>
<p>
<strong style="""">Thickness: </strong>
<span style="""">  
      1/2""      </span>
</p>
<p>
<strong style="""">Length: </strong>
<span style="""">  
      Most in 7/LF      </span>
</p>
<p>
<strong style="""">Veneer: </strong>
<span style="""">  
      2.0mm      </span>
</p>
<p>
<strong style="""">Finish: </strong>
<span style="""">  
      11 Step, Aluminum Oxide      </span>
</p>
<p>
<strong style="""">Gloss: </strong>
<span style="""">  
      Semi      </span>
</p>
<p>
<strong style="""">Edge Style: </strong>
<span style="""">  
      Full Bevel      </span>
</p>
<p>
<strong style="""">Color Variation: </strong>
<span style="""">  
      High      </span>
</p>
<p>
<strong style="""">Warranty: </strong>
<span style="""">  
      35 Year Limited Residential      </span>
</p>
<p>
<strong style="""">Installation Type: </strong>
<span style="""">  
      Staple, Cleat, Glue, Float      </span>
</p>
<p>
<strong style="""">Areas: </strong>
<span style="""">  
      On, Above, Below      </span>
</p>
</div>",Johnson Hardwood,,,TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_BelgianWheat_DSC_0347.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,"http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_BelgianWheat_DSC_0347.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_BelgianWheat_detail01_DSC_0974.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHO19007_BelgianWheat_540983740_room.jpg",,,
Marzen,Marzen,"<div class=""details"">
<h2>PRODUCT DETAILS</h2>
<p>
<strong style="""">Construction: </strong>
<span style="""">  
      Engineered      </span>
</p>
<p>
<strong style="""">Species: </strong>
<span style="""">  
      European Oak      </span>
</p>
<p>
<strong style="""">Texture: </strong>
<span style="""">  
      Wire-Brushed      </span>
</p>
<p>
<strong style="""">Color Tone: </strong>
<span style="""">  
      Medium      </span>
</p>
<p>
<strong style="""">Style: </strong>
<span style="""">  
      Vintage      </span>
</p>
<p>
<strong style="""">Floor Width: </strong>
<span style="""">  
      7-1/2""      </span>
</p>
<p>
<strong style="""">Thickness: </strong>
<span style="""">  
      1/2""      </span>
</p>
<p>
<strong style="""">Length: </strong>
<span style="""">  
      Most in 7/LF      </span>
</p>
<p>
<strong style="""">Veneer: </strong>
<span style="""">  
      2.0mm      </span>
</p>
<p>
<strong style="""">Finish: </strong>
<span style="""">  
      11 Step, Aluminum Oxide      </span>
</p>
<p>
<strong style="""">Gloss: </strong>
<span style="""">  
      Semi      </span>
</p>
<p>
<strong style="""">Edge Style: </strong>
<span style="""">  
      Full Bevel      </span>
</p>
<p>
<strong style="""">Color Variation: </strong>
<span style="""">  
      High      </span>
</p>
<p>
<strong style="""">Warranty: </strong>
<span style="""">  
      35 Year Limited Residential      </span>
</p>
<p>
<strong style="""">Installation Type: </strong>
<span style="""">  
      Staple, Cleat, Glue, Float      </span>
</p>
<p>
<strong style="""">Areas: </strong>
<span style="""">  
      On, Above, Below      </span>
</p>
</div>",Johnson Hardwood,,,TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_Marzen_DSC_0349.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,"http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_Marzen_DSC_0349.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_Marzen_DSC_0997_detail01.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHO19008_Marzen_room.jpg",,,
Blonde,Blonde,"<div class=""details"">
<h2>PRODUCT DETAILS</h2>
<p>
<strong style="""">Construction: </strong>
<span style="""">  
      Engineered      </span>
</p>
<p>
<strong style="""">Species: </strong>
<span style="""">  
      European Oak      </span>
</p>
<p>
<strong style="""">Texture: </strong>
<span style="""">  
      Wire-Brushed      </span>
</p>
<p>
<strong style="""">Color Tone: </strong>
<span style="""">  
      Light      </span>
</p>
<p>
<strong style="""">Style: </strong>
<span style="""">  
      Vintage      </span>
</p>
<p>
<strong style="""">Floor Width: </strong>
<span style="""">  
      7-1/2""      </span>
</p>
<p>
<strong style="""">Thickness: </strong>
<span style="""">  
      1/2""      </span>
</p>
<p>
<strong style="""">Length: </strong>
<span style="""">  
      Most in 7/LF      </span>
</p>
<p>
<strong style="""">Veneer: </strong>
<span style="""">  
      2.0mm      </span>
</p>
<p>
<strong style="""">Finish: </strong>
<span style="""">  
      11 Step, Aluminum Oxide      </span>
</p>
<p>
<strong style="""">Gloss: </strong>
<span style="""">  
      Semi      </span>
</p>
<p>
<strong style="""">Edge Style: </strong>
<span style="""">  
      Full Bevel      </span>
</p>
<p>
<strong style="""">Color Variation: </strong>
<span style="""">  
      High      </span>
</p>
<p>
<strong style="""">Warranty: </strong>
<span style="""">  
      35 Year Limited Residential      </span>
</p>
<p>
<strong style="""">Installation Type: </strong>
<span style="""">  
      Staple, Cleat, Glue, Float      </span>
</p>
<p>
<strong style="""">Areas: </strong>
<span style="""">  
      On, Above, Below      </span>
</p>
</div>",Johnson Hardwood,,,TRUE,,,,,,,1,,,0,deny,manual,,,,,,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_Blonde_DSC_0351.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,"http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_ALE_Blonde_DSC_0351.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_Blonde_detail01_DSC_1011.jpg,http://johnsonhardwood.com/wp-content/uploads/2017/03/1y_Alehouse_AHO19009_Blonde_626072668_room.jpg",,,
